,Symbol,Name,IndustryCode,Industry
0,7203,Toyota Motor Corp,53101010,자동차 및 트럭 제조
1,8306,Mitsubishi UFJ Financial Group Inc,55101010,은행
2,6501,Hitachi Ltd,54401010,소비재 대기업
3,6758,Sony Group Corp,57106030,가정용 전자 제품
4,6098,Recruit Holdings Co Ltd,52203030,고용 서비스
5,6861,Keyence Corp,57104010,전자 장비 및 부품
6,9983,Fast Retailing Co Ltd,53403040,의류 및 액세서리 소매
7,8316,Sumitomo Mitsui Financial Group Inc,55101010,은행
8,9984,SoftBank Group Corp,57401020,무선 통신 서비스
9,9432,Nippon Telegraph and Telephone Corp,57401010,통합 통신 서비스
10,8001,Itochu Corp,52202010,다각적 산업용 제품 도매
11,4519,Chugai Pharmaceutical Co Ltd,56201040,제약
12,8766,Tokio Marine Holdings Inc,55301020,손해보험
13,4063,Shin-Etsu Chemical Co Ltd,51101090,다각적 화학 산업
14,9433,KDDI Corp,57401020,무선 통신 서비스
15,8058,Mitsubishi Corp,52202010,다각적 산업용 제품 도매
16,7974,Nintendo Co Ltd,53205010,장난감 및 어린이 제품
17,8035,Tokyo Electron Ltd,57101020,반도체 장비 및 테스트
18,8031,Mitsui & Co Ltd,52202010,다각적 산업용 제품 도매
19,4568,Daiichi Sankyo Co Ltd,56201040,제약
20,9434,SoftBank Corp,57401020,무선 통신 서비스
21,8411,Mizuho Financial Group Inc,55101010,은행
22,2914,Japan Tobacco Inc,54102030,담배
23,7011,Mitsubishi Heavy Industries Ltd,54401010,소비재 대기업
24,6902,Denso Corp,53101020,"자동차, 트럭 및 오토바이 부품"
25,7267,Honda Motor Co Ltd,53101010,자동차 및 트럭 제조
26,7741,Hoya Corp,56101020,"의료 장비, 물품 및 유통"
27,6857,Advantest Corp,57101020,반도체 장비 및 테스트
28,4661,Oriental Land Co Ltd,53301040,여가 및 오락시설
29,4502,Takeda Pharmaceutical Co Ltd,56201040,제약
30,7751,Canon Inc,57105010,사무기기
31,8725,MS&AD Insurance Group Holdings Inc,55301020,손해보험
32,3382,Seven & i Holdings Co Ltd,54301020,식품 소매 및 유통
33,6702,Fujitsu Ltd,57201010,IT 서비스 및 컨설팅
34,6503,Mitsubishi Electric Corp,54401010,소비재 대기업
35,6367,Daikin Industries Ltd,52102030,전기 부품 및 장비
36,6981,Murata Manufacturing Co Ltd,57104010,전자 장비 및 부품
37,7182,Japan Post Bank Co Ltd,55101010,은행
38,4578,Otsuka Holdings Co Ltd,56201040,제약
39,6178,Japan Post Holdings Co Ltd,55301030,생명 및 건강 보험
40,6146,Disco Corp,57101020,반도체 장비 및 테스트
41,4543,Terumo Corp,56101020,"의료 장비, 물품 및 유통"
42,6273,SMC Corp,52102010,산업용 기계 및 장비
43,4901,Fujifilm Holdings Corp,51101030,특수 화학제
44,8591,ORIX Corp,55101030,소비자 대출
45,6954,Fanuc Corp,52102010,산업용 기계 및 장비
46,8002,Marubeni Corp,52202010,다각적 산업용 제품 도매
47,6723,Renesas Electronics Corp,57101010,반도체
48,6762,TDK Corp,52102030,전기 부품 및 장비
49,8750,Dai-ichi Life Holdings Inc,55301030,생명 및 건강 보험
50,6301,Komatsu Ltd,52102020,중장비 및 차량
51,8053,Sumitomo Corp,52202010,다각적 산업용 제품 도매
52,5108,Bridgestone Corp,53101030,타이어 및 고무 제품
53,9613,NTT Data Group Corp,57201010,IT 서비스 및 컨설팅
54,8801,Mitsui Fudosan Co Ltd,60101010,"부동산 임대, 개발 및 운영"
55,6201,Toyota Industries Corp,52102020,중장비 및 차량
56,6752,Panasonic Holdings Corp,57106030,가정용 전자 제품
57,6701,NEC Corp,57201010,IT 서비스 및 컨설팅
58,8630,Sompo Holdings Inc,55301020,손해보험
59,6594,Nidec Corp,52102030,전기 부품 및 장비
60,9020,East Japan Railway Co,52406020,지상 및 해상 여객 운송
61,5401,Nippon Steel Corp,51201020,철 및 강철
62,8267,Aeon Co Ltd,54301020,식품 소매 및 유통
63,7269,Suzuki Motor Corp,53101010,자동차 및 트럭 제조
64,9022,Central Japan Railway Co,52406020,지상 및 해상 여객 운송
65,2802,Ajinomoto Co Inc,54102020,식품 가공
66,4503,Astellas Pharma Inc,56201040,제약
67,1925,Daiwa House Industry Co Ltd,53203010,주택 건설
68,7733,Olympus Corp,56101010,첨단 의료 장비 및 기술
69,4452,Kao Corp,54201020,개인 생활 필수 용품
70,4689,LY Corp,57201030,온라인 서비스
71,8604,Nomura Holdings Inc,55102010,투자 은행 및 중개 서비스
72,8015,Toyota Tsusho Corp,52202010,다각적 산업용 제품 도매
73,8802,Mitsubishi Estate Co Ltd,60101010,"부동산 임대, 개발 및 운영"
74,8308,Resona Holdings Inc,55101010,은행
75,4307,Nomura Research Institute Ltd,57201010,IT 서비스 및 컨설팅
76,2502,Asahi Group Holdings Ltd,54101010,양조업
77,4684,Obic Co Ltd,57201010,IT 서비스 및 컨설팅
78,8309,Sumitomo Mitsui Trust Group Inc,55101010,은행
79,1605,Inpex Corp,50102020,"오일, 가스 탐사 및 생산"
80,4612,Nippon Paint Holdings Co Ltd,51101010,상품 화학
81,8113,Unicharm Corp,54201020,개인 생활 필수 용품
82,9735,Secom Co Ltd,52203040,경영 지원 서비스
83,1928,Sekisui House Ltd,53203010,주택 건설
84,8830,Sumitomo Realty & Development Co Ltd,60101010,"부동산 임대, 개발 및 운영"
85,7532,Pan Pacific International Holdings Corp,53402020,할인점
86,9503,Kansai Electric Power Co Inc,59101010,전력 유틸리티
87,6326,Kubota Corp,52102020,중장비 및 차량
88,5020,ENEOS Holdings Inc,50102030,"오일, 가스 정제 및 마케팅"
89,6971,Kyocera Corp,57104010,전자 장비 및 부품
90,9101,Nippon Yusen KK,52405020,해양 화물 및 물류
91,7832,Bandai Namco Holdings Inc,53205010,장난감 및 어린이 제품
92,3659,Nexon Co Ltd,57201030,온라인 서비스
93,5802,Sumitomo Electric Industries Ltd,53101020,"자동차, 트럭 및 오토바이 부품"
94,7936,Asics Corp,53202030,제화
95,9766,Konami Group Corp,57201020,소프트웨어
96,4091,Nippon Sanso Holdings Corp,51101010,상품 화학
97,4755,Rakuten Group Inc,57201030,온라인 서비스
98,8697,Japan Exchange Group Inc,55102050,"금융, 상품 시장 운영 및 서비스 제공"
99,4716,Oracle Corp Japan,57201020,소프트웨어
100,9843,Nitori Holdings Co Ltd,53403030,가정용 가구 소매
101,6869,Sysmex Corp,56101020,"의료 장비, 물품 및 유통"
102,2503,Kirin Holdings Co Ltd,54101010,양조업
103,9104,Mitsui O.S.K. Lines Ltd,52405020,해양 화물 및 물류
104,7309,Shimano Inc,53205020,오락용 제품
105,4507,Shionogi & Co Ltd,56201040,제약
106,6988,Nitto Denko Corp,51101030,특수 화학제
107,6920,Lasertec Corp,57101020,반도체 장비 및 테스트
108,7270,Subaru Corp,53101010,자동차 및 트럭 제조
109,9697,Capcom Co Ltd,57201020,소프트웨어
110,5803,Fujikura Ltd,52102030,전기 부품 및 장비
111,2801,Kikkoman Corp,54102020,식품 가공
112,2587,Suntory Beverage & Food Ltd,54101030,무알콜 음료
113,8601,Daiwa Securities Group Inc,55102010,투자 은행 및 중개 서비스
114,3407,Asahi Kasei Corp,51101090,다각적 화학 산업
115,8593,Mitsubishi HC Capital Inc,55101050,기업 금융 서비스
116,3092,ZOZO Inc,53403040,의류 및 액세서리 소매
117,3402,Toray Industries Inc,51101010,상품 화학
118,7911,TOPPAN Holdings Inc,52203020,상업 인쇄 서비스
119,7912,Dai Nippon Printing Co Ltd,52203020,상업 인쇄 서비스
120,7201,Nissan Motor Co Ltd,53101010,자동차 및 트럭 제조
121,4523,Eisai Co Ltd,56201040,제약
122,1812,Kajima Corp,52201020,건설 및 엔지니어링
123,1802,Obayashi Corp,52201020,건설 및 엔지니어링
124,9531,Tokyo Gas Co Ltd,59102010,천연가스 유틸리티
125,7013,IHI Corp,52102010,산업용 기계 및 장비
126,7202,Isuzu Motors Ltd,53101010,자동차 및 트럭 제조
127,9107,Kawasaki Kisen Kaisha Ltd,52405020,해양 화물 및 물류
128,7272,Yamaha Motor Co Ltd,53101010,자동차 및 트럭 제조
129,9435,Hikari Tsushin Inc,57102010,통신 및 네트워킹
130,8795,T&D Holdings Inc,55301030,생명 및 건강 보험
131,4768,Otsuka Corp,57201010,IT 서비스 및 컨설팅
132,3064,MonotaRO Co Ltd,53402010,백화점
133,5019,Idemitsu Kosan Co Ltd,50102030,"오일, 가스 정제 및 마케팅"
134,9202,ANA Holdings Inc,52406010,항공사
135,4151,Kyowa Kirin Co Ltd,56201040,제약
136,7701,Shimadzu Corp,57105010,사무기기
137,9532,Osaka Gas Co Ltd,59102010,천연가스 유틸리티
138,9021,West Japan Railway Co,52406020,지상 및 해상 여객 운송
139,6586,Makita Corp,52102010,산업용 기계 및 장비
140,7259,Aisin Corp,53101020,"자동차, 트럭 및 오토바이 부품"
141,9502,Chubu Electric Power Co Inc,59101010,전력 유틸리티
142,6504,Fuji Electric Co Ltd,52102030,전기 부품 및 장비
143,4324,Dentsu Group Inc,53302010,광고 및 마케팅
144,1801,Taisei Corp,52201020,건설 및 엔지니어링
145,6383,Daifuku Co Ltd,52102040,중전기장비
146,4188,Mitsubishi Chemical Group Corp,51101090,다각적 화학 산업
147,9005,Tokyu Corp,52406020,지상 및 해상 여객 운송
148,7550,Zensho Holdings Co Ltd,53301020,레스토랑 및 바
149,5713,Sumitomo Metal Mining Co Ltd,51201050,특수 채굴 및 금속
150,2897,Nissin Foods Holdings Co Ltd,54102020,식품 가공
151,1911,Sumitomo Forestry Co Ltd,53203010,주택 건설
152,8136,Sanrio Co Ltd,53403090,기타 전문 소매
153,1878,Daito Trust Construction Co Ltd,60101010,"부동산 임대, 개발 및 운영"
154,6361,Ebara Corp,52102010,산업용 기계 및 장비
155,9024,Seibu Holdings Inc,52406020,지상 및 해상 여객 운송
156,6506,Yaskawa Electric Corp,52102030,전기 부품 및 장비
157,5411,JFE Holdings Inc,51201020,철 및 강철
158,4911,Shiseido Co Ltd,54201020,개인 생활 필수 용품
159,9602,Toho Co Ltd (Tokyo),53302030,엔터테인먼트 제작
160,8729,Sony Financial Holdings Inc,55301030,생명 및 건강 보험
161,3003,Hulic Co Ltd,60101010,"부동산 임대, 개발 및 운영"
162,4704,Trend Micro Inc,57201020,소프트웨어
163,6645,Omron Corp,52102030,전기 부품 및 장비
164,7012,Kawasaki Heavy Industries Ltd,54401010,소비재 대기업
165,8951,Nippon Building Fund Inc,60102020,상업용 REITs
166,6479,Minebea Mitsumi Inc,57104010,전자 장비 및 부품
167,2875,Toyo Suisan Kaisha Ltd,54102020,식품 가공
168,9201,Japan Airlines Co Ltd,52406010,항공사
169,8473,SBI Holdings Inc,55102030,다각적 투자 서비스
170,4204,Sekisui Chemical Co Ltd,53203010,주택 건설
171,5201,AGC Inc,53203020,건설 자재 및 비품
172,5929,Sanwa Holdings Corp,53203020,건설 자재 및 비품
173,7181,Japan Post Insurance Co Ltd,55301030,생명 및 건강 보험
174,6724,Seiko Epson Corp,57106010,컴퓨터 하드웨어
175,9042,Hankyu Hanshin Holdings Inc,52406020,지상 및 해상 여객 운송
176,3038,Kobe Bussan Co Ltd,54301020,식품 소매 및 유통
177,2267,Yakult Honsha Co Ltd,54102020,식품 가공
178,8331,Chiba Bank Ltd,55101010,은행
179,7735,Screen Holdings Co Ltd,57101020,반도체 장비 및 테스트
180,7186,Concordia Financial Group Ltd,55101010,은행
181,2269,Meiji Holdings Co Ltd,54102020,식품 가공
182,9023,Tokyo Metro Co Ltd,52406020,지상 및 해상 여객 운송
183,5334,Niterra Co Ltd,53101020,"자동차, 트럭 및 오토바이 부품"
184,7752,Ricoh Co Ltd,57105010,사무기기
185,9719,SCSK Corp,57201010,IT 서비스 및 컨설팅
186,6841,Yokogawa Electric Corp,52102010,산업용 기계 및 장비
187,9143,SG Holdings Co Ltd,52405010,"배달, 우편, 항공 화물 및 육상 물류"
188,9501,Tokyo Electric Power Company Holdings Inc,59101010,전력 유틸리티
189,2413,M3 Inc,57201030,온라인 서비스
190,4528,Ono Pharmaceutical Co Ltd,56201040,제약
191,1803,Shimizu Corp,52201020,건설 및 엔지니어링
192,3626,TIS Inc,57201010,IT 서비스 및 컨설팅
193,3099,Isetan Mitsukoshi Holdings Ltd,53402010,백화점
194,3088,MatsukiyoCocokara & Co,54301010,의약품 소매
195,2702,McDonald's Holdings Company Japan Ltd,53301020,레스토랑 및 바
196,6532,BayCurrent Inc,52203040,경영 지원 서비스
197,8952,Japan Real Estate Investment Corp,60102020,상업용 REITs
198,4527,Rohto Pharmaceutical Co Ltd,56201040,제약
199,2327,NS Solutions Corp,57201010,IT 서비스 및 컨설팅
200,9508,Kyushu Electric Power Co Inc,59101010,전력 유틸리티
201,5831,Shizuoka Financial Group Inc,55101010,은행
202,7453,Ryohin Keikaku Co Ltd,53402010,백화점
203,1773,YTL Corporation Bhd,59104010,복합 유틸리티
204,6370,Kurita Water Industries Ltd,52203010,환경 서비스 및 장비
205,4021,Nissan Chemical Corp,51101090,다각적 화학 산업
206,2670,ABC-Mart Inc,53403040,의류 및 액세서리 소매
207,8439,Tokyo Century Corp,55101050,기업 금융 서비스
208,3405,Kuraray Co Ltd,51101010,상품 화학
209,8354,Fukuoka Financial Group Inc,55101010,은행
210,4816,Toei Animation Co Ltd,53302030,엔터테인먼트 제작
211,6465,Hoshizaki Corp,52102010,산업용 기계 및 장비
212,6305,Hitachi Construction Machinery Co Ltd,52102020,중장비 및 차량
213,5332,TOTO Ltd,53203020,건설 자재 및 비품
214,4062,Ibiden Co Ltd,57101010,반도체
215,9009,Keisei Electric Railway Co Ltd,52406020,지상 및 해상 여객 운송
216,6967,Shinko Electric Industries Co Ltd,57101010,반도체
217,6845,Azbil Corp,52102030,전기 부품 및 장비
218,5844,Kyoto Financial Group Inc,55101010,은행
219,4183,Mitsui Chemicals Inc,51101010,상품 화학
220,6448,Brother Industries Ltd,57105010,사무기기
221,2768,Sojitz Corp,52202010,다각적 산업용 제품 도매
222,7211,Mitsubishi Motors Corp,53101010,자동차 및 트럭 제조
223,3288,Open House Group Co Ltd,60101010,"부동산 임대, 개발 및 운영"
224,3231,Nomura Real Estate Holdings Inc,60101010,"부동산 임대, 개발 및 운영"
225,3283,Nippon Prologis REIT Inc,60102020,상업용 REITs
226,9962,Misumi Group Inc,52102010,산업용 기계 및 장비
227,4004,Resonac Holdings Corp,51101010,상품 화학
228,3289,Tokyu Fudosan Holdings Corp,60101010,"부동산 임대, 개발 및 운영"
229,4732,USS Co Ltd,57201030,온라인 서비스
230,9684,Square Enix Holdings Co Ltd,57201030,온라인 서비스
231,6460,Sega Sammy Holdings Inc,53302030,엔터테인먼트 제작
232,9041,Kintetsu Group Holdings Co Ltd,52406020,지상 및 해상 여객 운송
233,7731,Nikon Corp,57106030,가정용 전자 제품
234,4042,Tosoh Corp,51101090,다각적 화학 산업
235,7747,Asahi Intecc Co Ltd,56101020,"의료 장비, 물품 및 유통"
236,6806,Hirose Electric Co Ltd,57104010,전자 장비 및 부품
237,3769,GMO Payment Gateway Inc,52203040,경영 지원 서비스
238,8953,Japan Metropolitan Fund Investment Corp,60102020,상업용 REITs
239,6525,Kokusai Electric Corp,57101020,반도체 장비 및 테스트
240,9506,Tohoku Electric Power Co Inc,59101010,전력 유틸리티
241,7167,Mebuki Financial Group Inc,55101010,은행
242,5838,Rakuten Bank Ltd,55101010,은행
243,3462,Nomura Real Estate Master Fund Inc,60102010,복합부동산 REITs
244,8253,Credit Saison Co Ltd,55101030,소비자 대출
245,3291,Iida Group Holdings Co Ltd,60101010,"부동산 임대, 개발 및 운영"
246,5406,Kobe Steel Ltd,51201020,철 및 강철
247,7261,Mazda Motor Corp,53101010,자동차 및 트럭 제조
248,9401,TBS Holdings Inc,53302020,방송
249,4005,Sumitomo Chemical Co Ltd,51101090,다각적 화학 산업
250,9147,Nippon Express Holdings Inc,52405010,"배달, 우편, 항공 화물 및 육상 물류"
251,2212,Yamazaki Baking Co Ltd,54102020,식품 가공
252,3281,GLP J-REIT,60102020,상업용 REITs
253,5333,NGK Insulators Ltd,52102010,산업용 기계 및 장비
254,1944,Kinden Corp,52201020,건설 및 엔지니어링
255,5021,Cosmo Energy Holdings Co Ltd,50102030,"오일, 가스 정제 및 마케팅"
256,9142,Kyushu Railway Co,52406020,지상 및 해상 여객 운송
257,6963,Rohm Co Ltd,57101010,반도체
258,9749,Fuji Soft Inc,57201010,IT 서비스 및 컨설팅
259,4536,Santen Pharmaceutical Co Ltd,56201040,제약
260,4182,Mitsubishi Gas Chemical Co Inc,51101010,상품 화학
261,9007,Odakyu Electric Railway Co Ltd,52406020,지상 및 해상 여객 운송
262,7276,Koito Manufacturing Co Ltd,53101020,"자동차, 트럭 및 오토바이 부품"
263,8972,KDX Realty Investment Corp,60102010,복합부동산 REITs
264,9404,Nippon Television Holdings Inc,53302020,방송
